id,age,level,height,weight,waist,hip,income,bmi
412,63,2,162,70,93,95,3,27
413,64,1,152,48,80,88,3,21
414,70,2,158,63,84,90,1,25
415,47,3,173,64,81,91,2,22
416,44,2,158,53,75,87,1,21
417,61,1,148,55,89,93,3,25
418,64,1,165,62,80,92,2,23
419,60,2,162,56,84,91,2,22
420,68,1,148,56,89,90,1,25
421,50,1,158,55,74,90,1,22
422,43,2,151,54,80,87,1,24
423,44,3,163,63,78,94,6,24
424,64,1,157,45,69,83,1,18
425,62,1,154,59,90,99,1,25
426,42,2,171,59,81,88,2,20
427,62,2,161,66,91,95,2,26
428,62,1,148,63,95,103,2,29
429,52,3,163,64,88,94,2,24
430,59,1,141,52,90,93,1,26
431,64,1,161,55,76,92,1,21
432,61,1,147,52,93,92,2,24
433,64,1,166,56,78,89,2,20
434,58,1,156,56,89,94,2,23
435,46,2,149,58,84,95,2,26
436,64,1,158,62,86,92,1,25
437,64,3,169,61,82,92,1,22
438,55,2,161,63,85,96,2,24
439,50,2,153,58,82,91,3,25
440,61,1,145,63,98,100,2,28
441,61,1,164,60,87,92,2,23
442,58,1,154,52,80,88,2,22
443,43,2,171,56,80,90,4,19
444,40,2,151,59,81,93,3,26
445,66,2,157,51,72,86,1,21
446,66,1,151,58,91,92,1,25
447,50,2,173,97,101,108,1,32
448,46,1,153,65,87,98,1,28
449,62,1,150,50,81,91,1,22
450,52,2,148,56,84,92,3,26
451,56,1,162,60,76,91,1,23
452,66,1,155,52,75,89,2,22
453,62,2,167,67,88,92,3,24
454,53,1,158,81,104,112,5,32
455,53,2,167,56,78,87,2,20
456,46,1,152,50,76,89,1,22
457,53,2,170,58,82,86,2,20
458,51,1,166,72,93,96,1,26
459,61,1,153,50,78,90,1,21
460,57,1,167,58,82,92,2,21
461,55,1,153,61,98,102,2,26
462,52,2,163,54,83,87,2,21
463,40,2,170,71,89,98,2,25
464,59,3,156,42,71,83,3,17
465,52,1,158,51,79,87,1,20
466,68,1,158,53,71,86,1,21
467,65,1,147,56,93,94,1,26
468,55,1,163,50,77,82,1,19
469,65,1,153,59,94,94,1,25
470,64,1,161,69,90,92,2,27
471,63,1,163,53,86,88,1,20
472,60,2,163,65,85,93,1,24
473,65,1,165,59,80,92,1,22
